id,dep_fio,fractions,dep_link,frac_link
56,Кемелов Акыл Канатбекович,Парламентская фракция «Республика - Ата Журт»,http://kenesh.kg/ru/deputy/show/193/kemelov-akil-kanatbekovich,http://kenesh.kg/ru/fraction/2/show/parlamentskaya-fraktsiya-respublika-ata-zhurt
57,Кенжебаев Байгазы Бобунович,Парламентская фракция «Кыргызстан»,http://kenesh.kg/ru/deputy/show/180/kenzhebaev-baygazi-bobunovich,http://kenesh.kg/ru/fraction/3/show/parlamentskaya-fraktsiya-kirgizstan
58,Керезбеков Канат Керезбекович,Парламентская фракция СДПК,http://kenesh.kg/ru/deputy/show/138/kerezbekov-kanat-kerezbekovich,http://kenesh.kg/ru/fraction/1/show/parlamentskaya-fraktsiya-sdpk
59,Кодуранова Асель Союзбековна,Парламентская фракция СДПК,http://kenesh.kg/ru/deputy/show/22/koduranova-asely-soyuzbekovna,http://kenesh.kg/ru/fraction/1/show/parlamentskaya-fraktsiya-sdpk
60,Койчуманов Мээримбек Нурбекович,Парламентская фракция «Кыргызстан»,http://kenesh.kg/ru/deputy/show/188/koychumanov-meerimbek-nurbekovich,http://kenesh.kg/ru/fraction/3/show/parlamentskaya-fraktsiya-kirgizstan
61,Конушбаев Тынчтыкбек Кадырбекович,Парламентская фракция «Кыргызстан»,http://kenesh.kg/ru/deputy/show/110/konushbaev-tinchtikbek-kadirbekovich,http://kenesh.kg/ru/fraction/3/show/parlamentskaya-fraktsiya-kirgizstan
62,Кулбараков Абтандил Илдузович,Парламентская фракция СДПК,http://kenesh.kg/ru/deputy/show/23/kulbarakov-abtandil-ilduzovich,http://kenesh.kg/ru/fraction/1/show/parlamentskaya-fraktsiya-sdpk
63,Кыдыралиев Умбеталы Токторалиевич,Парламентская фракция «Республика - Ата Журт»,http://kenesh.kg/ru/deputy/show/72/kidiraliev-umbetali-toktoralievich,http://kenesh.kg/ru/fraction/2/show/parlamentskaya-fraktsiya-respublika-ata-zhurt
64,Мавлянова Махабат Эргешовна,Парламентская фракция «Республика - Ата Журт»,http://kenesh.kg/ru/deputy/show/81/mavlyanova-mahabat-ergeshovna,http://kenesh.kg/ru/fraction/2/show/parlamentskaya-fraktsiya-respublika-ata-zhurt
65,Мадеминов Мурадыл Ганыевич,Парламентская фракция СДПК,http://kenesh.kg/ru/deputy/show/24/mademinov-muradil-ganievich,http://kenesh.kg/ru/fraction/1/show/parlamentskaya-fraktsiya-sdpk
66,Маматалиев Марлен Абдырахманович,Парламентская фракция «Республика - Ата Журт»,http://kenesh.kg/ru/deputy/show/159/mamataliev-marlen-abdirahmanovich,http://kenesh.kg/ru/fraction/2/show/parlamentskaya-fraktsiya-respublika-ata-zhurt
67,Маматов Абдимуктар Маматович,Парламентская фракция «Ата Мекен»,http://kenesh.kg/ru/deputy/show/87/mamatov-abdimuktar-mamatovich,http://kenesh.kg/ru/fraction/6/show/parlamentskaya-fraktsiya-ata-meken
68,Мамашова Айсулуу Турусбековна,Парламентская фракция «Ата Мекен»,http://kenesh.kg/ru/deputy/show/83/mamashova-aysuluu-turusbekovna,http://kenesh.kg/ru/fraction/6/show/parlamentskaya-fraktsiya-ata-meken
69,Мамытов Талант Турдумаматович,Парламентская фракция «Республика - Ата Журт»,http://kenesh.kg/ru/deputy/show/64/mamitov-talant-turdumamatovich,http://kenesh.kg/ru/fraction/2/show/parlamentskaya-fraktsiya-respublika-ata-zhurt
70,Маннанов Ильхом Абдукахарович,Парламентская фракция СДПК,http://kenesh.kg/ru/deputy/show/25/mannanov-ilyhom-abdukaharovich,http://kenesh.kg/ru/fraction/1/show/parlamentskaya-fraktsiya-sdpk
71,Матраимов Искендер Исмаилович,Парламентская фракция СДПК,http://kenesh.kg/ru/deputy/show/26/matraimov-iskender-ismailovich,http://kenesh.kg/ru/fraction/1/show/parlamentskaya-fraktsiya-sdpk
72,Молдалиев Сталбек Уметкулович,Парламентская фракция СДПК,http://kenesh.kg/ru/deputy/show/179/moldaliev-stalbek-umetkulovich,http://kenesh.kg/ru/fraction/1/show/parlamentskaya-fraktsiya-sdpk
73,Молдобекова Гулкан Сакиновна,Парламентская фракция СДПК,http://kenesh.kg/ru/deputy/show/28/moldobekova-gulkan-sakinovna,http://kenesh.kg/ru/fraction/1/show/parlamentskaya-fraktsiya-sdpk
74,Момбеков Рыскелди Чыныбекович,Парламентская фракция СДПК,http://kenesh.kg/ru/deputy/show/29/mombekov-riskeldi-chinibekovich,http://kenesh.kg/ru/fraction/1/show/parlamentskaya-fraktsiya-sdpk
75,Мусабекова Жылдыз Аманбековна,Парламентская фракция СДПК,http://kenesh.kg/ru/deputy/show/30/musabekova-zhildiz-amanbekovna,http://kenesh.kg/ru/fraction/1/show/parlamentskaya-fraktsiya-sdpk
76,Никитенко Наталья Владимировна,Парламентская фракция «Ата Мекен»,http://kenesh.kg/ru/deputy/show/77/nikitenko-natalyya-vladimirovna,http://kenesh.kg/ru/fraction/6/show/parlamentskaya-fraktsiya-ata-meken
77,Нурбаев Абдывахап Мамадрасулович,Парламентская фракция СДПК,http://kenesh.kg/ru/deputy/show/31/nurbaev-abdivahap-mamadrasulovich,http://kenesh.kg/ru/fraction/1/show/parlamentskaya-fraktsiya-sdpk
78,Нурдинов Бейшеналы,Парламентская фракция «Кыргызстан»,http://kenesh.kg/ru/deputy/show/178/nurdinov-beyshenali,http://kenesh.kg/ru/fraction/3/show/parlamentskaya-fraktsiya-kirgizstan
79,Нышанов Сайдулла Канболотович,Парламентская фракция «Ата Мекен»,http://kenesh.kg/ru/deputy/show/90/nishanov-saydulla-kanbolotovich,http://kenesh.kg/ru/fraction/6/show/parlamentskaya-fraktsiya-ata-meken
80,Омуркулов Иса Шейшенкулович,Парламентская фракция СДПК,http://kenesh.kg/ru/deputy/show/11/omurkulov-isa-sheyshenkulovich,http://kenesh.kg/ru/fraction/1/show/parlamentskaya-fraktsiya-sdpk
81,Ормонов Улугбек Зулпукарович,Парламентская фракция «Бир Бол»,http://kenesh.kg/ru/deputy/show/65/ormonov-ulugbek-zulpukarovich,http://kenesh.kg/ru/fraction/5/show/parlamentskaya-fraktsiya-bir-bol
82,Орозова Карамат Бабашевна,Парламентская фракция СДПК,http://kenesh.kg/ru/deputy/show/32/orozova-karamat-babashevna,http://kenesh.kg/ru/fraction/1/show/parlamentskaya-fraktsiya-sdpk
83,Осмонова Айнура Шермаматовна,Парламентская фракция СДПК,http://kenesh.kg/ru/deputy/show/137/osmonova-aynura-shermamatovna,http://kenesh.kg/ru/fraction/1/show/parlamentskaya-fraktsiya-sdpk
84,Осмонов Айбек Жапарович,Парламентская фракция «Бир Бол»,http://kenesh.kg/ru/deputy/show/195/osmonov-aybek-zhaparovich,http://kenesh.kg/ru/fraction/5/show/parlamentskaya-fraktsiya-bir-bol
85,Примов Улан Бердибаевич,Парламентская фракция СДПК,http://kenesh.kg/ru/deputy/show/33/primov-ulan-berdibaevich,http://kenesh.kg/ru/fraction/1/show/parlamentskaya-fraktsiya-sdpk
86,Райымкулов Бактыбек Кемелбекович,Парламентская фракция «Республика - Ата Журт»,http://kenesh.kg/ru/deputy/show/92/rayimkulov-baktibek-kemelbekovich,http://kenesh.kg/ru/fraction/2/show/parlamentskaya-fraktsiya-respublika-ata-zhurt
87,Рыспаев Кожобек Джайчыбекович,Парламентская фракция СДПК,http://kenesh.kg/ru/deputy/show/34/rispaev-kozhobek-dzhaychibekovich,http://kenesh.kg/ru/fraction/1/show/parlamentskaya-fraktsiya-sdpk
88,Садиков Улугбек Чирмашович,Парламентская фракция «Кыргызстан»,http://kenesh.kg/ru/deputy/show/190/sadikov-ulugbek-chirmashovich,http://kenesh.kg/ru/fraction/3/show/parlamentskaya-fraktsiya-kirgizstan
89,Самаев Урматбек Обозбекович,Парламентская фракция «Кыргызстан»,http://kenesh.kg/ru/deputy/show/115/samaev-urmatbek-obozbekovich,http://kenesh.kg/ru/fraction/3/show/parlamentskaya-fraktsiya-kirgizstan
90,Самигуллина Альфия Эльдаровна,Парламентская фракция СДПК,http://kenesh.kg/ru/deputy/show/38/samigullina-alyfiya-elydarovna,http://kenesh.kg/ru/fraction/1/show/parlamentskaya-fraktsiya-sdpk
91,Строкова Евгения Григорьевна,Парламентская фракция СДПК,http://kenesh.kg/ru/deputy/show/37/strokova-evgeniya-grigoryevna,http://kenesh.kg/ru/fraction/1/show/parlamentskaya-fraktsiya-sdpk
92,Субанбеков Бакирдин Жамалович,Парламентская фракция «Бир Бол»,http://kenesh.kg/ru/deputy/show/70/subanbekov-bakirdin-zhamalovich,http://kenesh.kg/ru/fraction/5/show/parlamentskaya-fraktsiya-bir-bol
93,Сулайманов Алтынбек Турдубаевич,Парламентская фракция «Бир Бол»,http://kenesh.kg/ru/deputy/show/74/sulaymanov-altinbek-turdubaevich,http://kenesh.kg/ru/fraction/5/show/parlamentskaya-fraktsiya-bir-bol
94,Сулейманов Бахадыр Искакович,Парламентская фракция «Ата Мекен»,http://kenesh.kg/ru/deputy/show/100/suleymanov-bahadir-iskakovich,http://kenesh.kg/ru/fraction/6/show/parlamentskaya-fraktsiya-ata-meken
95,Султанов Абдыкапар Маданбекович,Парламентская фракция «Онугуу-Прогресс»,http://kenesh.kg/ru/deputy/show/50/sultanov-abdikapar-madanbekovich,http://kenesh.kg/ru/fraction/4/show/parlamentskaya-fraktsiya-onuguu-progress
96,Сыдыгалиев Бектен Качкыналиевич,Парламентская фракция «Кыргызстан»,http://kenesh.kg/ru/deputy/show/172/sidigaliev-bekten-kachkinalievich,http://kenesh.kg/ru/fraction/3/show/parlamentskaya-fraktsiya-kirgizstan
